Feature,Subgroup Range,AUC >0,AUC >1,AUC >2,Spearman Corr >0,Spearman Corr >1,Spearman Corr >2,Max AUC,Max AUC,Mean AUC
Height,"NAFL, Probable NASH",0.715686275,0.642787524,0.544554455,0.073308273,0.217675392,0.021310676,0.715686275,0.642787524,0.634342751
SMI,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.651315789,0.638114401,0.642394822,0.198861631,0.224215434,0.112501193,0.651315789,0.642394822,0.643941671
Waist to Height,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.622076023,0.642138546,0.584142395,0.160434263,0.230748246,0.066477978,0.642138546,0.642138546,0.616118988
TFI,"NAFL, Probable NASH, NASH",0.518238994,0.642084106,0.624675325,0.010862738,0.241371147,0.103346487,0.642084106,0.642084106,0.594999475
SBP,"NAFL, Probable NASH, NASH, Cirrhosis",0.535353535,0.567957746,0.641992551,0.028543013,0.113813332,0.119403504,0.641992551,0.641992551,0.581767944
Waist to Height,"NAFL, Probable NASH, NASH",0.586163522,0.641929499,0.57987013,-0.05131707,0.241108502,0.066206343,0.641929499,0.641929499,0.602654384
LSM_C,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.545922939,0.572193394,0.641847826,0.071582153,0.117372857,0.109956324,0.641847826,0.641847826,0.58665472
Liver/Spleen Volume,"Probable NASH, NASH, Cirrhosis",0.570967742,0.641694537,0.525806452,0.064605538,0.245319601,0.023492923,0.641694537,0.641694537,0.579489577
BMI_C,"Others, NAFL, Probable NASH, NASH",0.671481918,0.641575758,0.55718232,0.236392171,0.248517556,0.047015631,0.671481918,0.641575758,0.623413332
LDL,"None, NAFL, Probable NASH, NASH",0.597592713,0.583581719,0.641573034,-0.131802093,-0.149166237,-0.118794926,0.641573034,0.641573034,0.607582489
이상지질혈증 유무,"Others, None, NAFL",0.526785714,0.529411765,0.641509434,-0.064384844,-0.032410186,0.091777887,0.641509434,0.641509434,0.565902304
T.bil,"Others, None, NAFL, Probable NASH",0.582956259,0.590696996,0.641447368,-0.136286144,-0.119805686,-0.055632996,0.641447368,0.641447368,0.605033541
FIB-4_C,"Probable NASH, NASH, Cirrhosis",0.670967742,0.641360089,0.508870968,-0.165517015,-0.260270929,-0.008588147,0.670967742,0.641360089,0.607066266
Waist to Height,"Others, Probable NASH, NASH, Cirrhosis",0.66586748,0.641185897,0.58013245,0.241738641,0.239969882,0.066999262,0.66586748,0.641185897,0.629061943
고혈압유무,"NAFL, Probable NASH",0.612745098,0.549463938,0.641089109,0.053090747,0.104471649,0.093495403,0.641089109,0.641089109,0.601099382
VFA (Volume),NASH,0.587719298,0.641025641,0.591981132,0.075228383,0.234617758,0.107572393,0.641025641,0.641025641,0.60690869
Alb,"NAFL, Probable NASH, NASH",0.528930818,0.640924552,0.527922078,0.017279734,0.240084685,0.023211376,0.640924552,0.640924552,0.565925816
PLT,"NAFL, Probable NASH, NASH",0.720754717,0.624690785,0.640909091,0.131482037,0.211832326,0.116807907,0.720754717,0.640909091,0.662118198
eGFR,"Others, Cirrhosis",0.630591631,0.640816327,0.5,-0.220573485,-0.141418881,0,0.640816327,0.640816327,0.590469319
FIB-4_C,"NASH, Cirrhosis",0.628205128,0.640754132,0.554487179,-0.149727696,-0.25897824,-0.063634271,0.640754132,0.640754132,0.60781548
HDL,"Others, NASH, Cirrhosis",0.62993763,0.559859155,0.64047619,-0.211050988,-0.101155704,-0.13762637,0.64047619,0.64047619,0.610090992
ALT,"NAFL, Probable NASH, NASH, Cirrhosis",0.538636364,0.583392019,0.640363128,-0.031184071,0.139620202,0.117997866,0.640363128,0.640363128,0.587463837
이상지질혈증 유무,"Others, NAFL",0.544642857,0.532051282,0.640243902,-0.100605455,-0.039460706,0.102212128,0.640243902,0.640243902,0.572312681
PLT,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.555847953,0.640222286,0.618932039,0.073398569,0.227644502,0.093967004,0.640222286,0.640222286,0.605000759
HDL,"Probable NASH, NASH, Cirrhosis",0.589112903,0.507134894,0.639919355,0.081383688,-0.012392379,-0.127783438,0.639919355,0.639919355,0.578722384
VFA (Attenuation),"Others, Probable NASH, NASH",0.683369872,0.63963964,0.56547619,-0.26787079,-0.240545991,-0.053741723,0.683369872,0.63963964,0.629495234
PT INR,"Others, NASH, Cirrhosis",0.554573805,0.639564661,0.533809524,-0.088435858,-0.235302736,-0.033046822,0.639564661,0.639564661,0.575982663
TFI,"NAFL, Probable NASH, NASH, Cirrhosis",0.704545455,0.639319249,0.602886406,0.165076646,0.233235219,0.086484513,0.704545455,0.639319249,0.648917036
BMI,"Others, NAFL, Probable NASH, NASH",0.697720126,0.639212121,0.593370166,0.255793171,0.229334051,0.072046342,0.697720126,0.639212121,0.643434138
AST,"Others, None, NAFL",0.629979396,0.514705882,0.639150943,-0.225050428,-0.011672838,-0.06500754,0.639150943,0.639150943,0.594612074
SMI,"Others, Probable NASH, NASH, Cirrhosis",0.655841325,0.639102564,0.601986755,0.227126319,0.236428896,0.085271788,0.655841325,0.639102564,0.632310215
SMI,"Others, NASH, Cirrhosis",0.637560638,0.628040973,0.639047619,0.222613525,0.215582588,0.135727362,0.639047619,0.639047619,0.634883077
PLT,"None, NAFL, Probable NASH, NASH",0.570808935,0.617237953,0.639044944,0.088602048,0.193855553,0.108099413,0.639044944,0.639044944,0.609030611
TG,"Others, None, NAFL, Probable NASH, NASH",0.633984726,0.625838926,0.63902439,0.204113924,0.201467441,0.10162316,0.63902439,0.63902439,0.632949347
당뇨병/당뇨병 전단계 유무,"NAFL, Probable NASH",0.637254902,0.548245614,0.638613861,0.060207451,0.094922421,-0.085566671,0.638613861,0.638613861,0.608038126
SMA (Area),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.599148746,0.629560992,0.638405797,0.149933396,0.20435278,0.104084936,0.638405797,0.638405797,0.622371845
이상지질혈증 유무,"Others, None, NAFL, Probable NASH",0.517156863,0.525517644,0.638157895,-0.038722388,-0.046307017,0.07465089,0.638157895,0.638157895,0.560277467
LSM_C,"Others, None, NAFL, Probable NASH, NASH",0.541329739,0.619280049,0.63804878,0.064924824,0.196919375,0.104055501,0.63804878,0.63804878,0.599552856
SFI,"Others, Probable NASH, NASH",0.628875666,0.635810811,0.637896825,0.188264441,0.233950375,0.113183326,0.637896825,0.637896825,0.634194434
eGFR,"None, NAFL",0.608571429,0.637777778,0.620253165,-0.173747384,-0.125004065,0.06464929,0.637777778,0.637777778,0.62220079
PLT,"Others, NAFL, Probable NASH",0.508928571,0.637720245,0.560546875,0.01271601,0.193547718,0.025816745,0.637720245,0.637720245,0.56906523
SMI,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.59265233,0.627131208,0.637681159,0.140109443,0.200520311,0.103539967,0.637681159,0.637681159,0.619154899
TFI,"Others, NAFL, Probable NASH",0.639705882,0.637540453,0.53125,0.198954568,0.193281846,-0.013323862,0.639705882,0.637540453,0.602832112
Alb,"Others, Probable NASH, NASH",0.73864704,0.637387387,0.53968254,0.349511084,0.237270525,0.032653908,0.73864704,0.637387387,0.638572322
TFI,"Probable NASH, NASH",0.601941748,0.636879433,0.636363636,0.066992548,0.235336106,0.124247305,0.636879433,0.636879433,0.625061606
PLT,"Others, NAFL, Probable NASH, NASH",0.53793239,0.609575758,0.636740331,0.049075521,0.180518874,0.105515698,0.636740331,0.636740331,0.594749493
이상지질혈증 유무,"Others, NAFL, Probable NASH",0.535014006,0.528766631,0.63671875,-0.068326672,-0.055393507,0.079876206,0.63671875,0.63671875,0.566833129
LDL,"NAFL, Probable NASH, NASH",0.503773585,0.569264069,0.636688312,0.002485478,-0.130126346,-0.125303721,0.636688312,0.636688312,0.569908655
BMI_C,"None, NAFL, Probable NASH, NASH",0.653979614,0.636549925,0.553089888,0.206093003,0.241515946,0.044149345,0.653979614,0.636549925,0.614539809
Height,"None, NAFL, Probable NASH",0.513529412,0.636481481,0.56,0.018648179,0.193572226,0.025894569,0.636481481,0.636481481,0.570003631
VFA (Attenuation),Cirrhosis,0.777777778,0.636363636,0.54,-0.400320385,-0.183619944,-0.036313652,0.777777778,0.636363636,0.651380471
LDL,"Others, None, NAFL, Probable NASH, NASH",0.533243486,0.570266423,0.636097561,-0.054919257,-0.121993997,-0.107882943,0.636097561,0.636097561,0.579869157
LSM,"None, NAFL",0.611785714,0.6,0.636075949,0.179944796,0.091263101,0.073586625,0.636075949,0.636075949,0.615953888
SFI,"Others, NASH, Cirrhosis",0.637214137,0.636043534,0.626666667,0.222052785,0.2290565,0.123642049,0.637214137,0.636043534,0.633308113
LSM_C,"NAFL, Probable NASH, NASH",0.567295597,0.628710575,0.635714286,0.041473142,0.226253841,0.116407952,0.635714286,0.635714286,0.610573486
Spleen (Volume),"Others, None, NAFL",0.598901099,0.635620915,0.523584906,0.171191536,-0.107618731,0.011015078,0.635620915,0.635620915,0.58603564
PLT,"Others, None, NAFL, Probable NASH, NASH",0.538634322,0.605908074,0.635609756,0.05874109,0.169227253,0.098933642,0.635609756,0.635609756,0.593384051
DBP,"Probable NASH, NASH, Cirrhosis",0.702822581,0.572909699,0.635483871,0.184747532,0.126304268,0.123409882,0.702822581,0.635483871,0.63707205
SBP,"Others, None, NAFL, Probable NASH, NASH",0.621855346,0.602704901,0.635365854,0.185339868,0.164167792,0.098791082,0.635365854,0.635365854,0.619975367
ALT,"Others, NASH, Cirrhosis",0.591649342,0.56450064,0.635238095,-0.148327557,0.108608513,0.132019483,0.635238095,0.635238095,0.597129359
LSM,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.607748538,0.538516815,0.635113269,-0.141986343,0.062696796,0.107035876,0.635113269,0.635113269,0.593792874
LSM,"Others, NAFL, Probable NASH, NASH",0.622248428,0.592909091,0.635082873,-0.158571176,0.153459083,0.104507387,0.635082873,0.635082873,0.616746797
ALT,"Others, NAFL, Probable NASH",0.664390756,0.526788925,0.634765625,-0.234137931,-0.037650527,-0.057466453,0.664390756,0.634765625,0.608648435
고혈압유무,"Others, Cirrhosis",0.536796537,0.52244898,0.634615385,0.083915069,-0.030440097,0.118926259,0.634615385,0.634615385,0.5646203
Liver/Spleen Volume,"Others, Probable NASH, NASH",0.514249922,0.546621622,0.633928571,-0.020816603,0.080311323,-0.109926252,0.633928571,0.633928571,0.564933372
TG,"None, NAFL, Probable NASH, NASH",0.689872045,0.625186289,0.633707865,0.237971325,0.207335987,0.104119721,0.689872045,0.633707865,0.649588733
FIB-4_C,"Others, NASH, Cirrhosis",0.585239085,0.633642766,0.564285714,-0.146877006,-0.23958953,-0.06681531,0.633642766,0.633642766,0.594389188
SFA (Volume),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.652150538,0.63355572,0.589492754,0.230083012,0.210653504,0.067300978,0.652150538,0.63355572,0.625066337
PLT,"Others, None, NAFL, Probable NASH",0.523944193,0.633420822,0.572368421,0.039229855,0.175760829,0.028385766,0.633420822,0.633420822,0.576577812
SFI,"NASH, Cirrhosis",0.742307692,0.633264463,0.607692308,0.266409984,0.230835725,0.118404437,0.742307692,0.633264463,0.661088154
TG,"Others, Probable NASH, NASH",0.624177889,0.632995495,0.60218254,0.181666365,0.229434758,0.083991967,0.632995495,0.632995495,0.619785308
Waist to Height,NASH,0.574561404,0.632867133,0.549528302,-0.063944125,0.221044829,0.057923596,0.632867133,0.632867133,0.585652279
Weight,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.670564516,0.632073141,0.598550725,0.257961731,0.208341714,0.074122296,0.670564516,0.632073141,0.63372946
LSM_C,Cirrhosis,0.595238095,0.631818182,0.6,0.203858877,-0.263636364,0.134839972,0.631818182,0.631818182,0.609018759
SFA (Area),NASH,0.614035088,0.631701632,0.608490566,0.09779819,0.219108736,0.126881936,0.631701632,0.631701632,0.618075762
Spleen_Vl_Nor_WH,"Others, None, NAFL, Probable NASH, NASH",0.538746631,0.570571487,0.631219512,-0.058909235,-0.112759004,0.095726507,0.631219512,0.631219512,0.58017921
LDL,"Others, NAFL, Probable NASH, NASH",0.530856918,0.556484848,0.63121547,0.04438351,-0.103455714,-0.112569274,0.63121547,0.63121547,0.572852412
PLT,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.535035842,0.631125937,0.615398551,0.052983207,0.20682804,0.086785761,0.631125937,0.631125937,0.593853443
AST,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.551299283,0.578247261,0.630797101,-0.077585466,0.123433589,0.098376109,0.630797101,0.630797101,0.586781215
DBP,"NASH, Cirrhosis",0.727564103,0.568698347,0.630769231,0.250349802,0.119068028,0.143862985,0.727564103,0.630769231,0.642343893
SMA (Area),"NASH, Cirrhosis",0.506410256,0.59142562,0.630769231,-0.007047883,0.158364044,0.143776817,0.630769231,0.630769231,0.576201702
SBP,"NASH, Cirrhosis",0.541666667,0.611311983,0.630769231,0.045833847,0.192905608,0.143847768,0.630769231,0.630769231,0.594582627
Liver/Spleen Volume,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.551169591,0.630736802,0.544498382,-0.067247895,0.212238612,0.035156623,0.630736802,0.630736802,0.575468258
Age,"Others, NAFL, Probable NASH",0.56442577,0.630708378,0.578125,-0.091779936,-0.183743909,0.033321078,0.630708378,0.630708378,0.591086383
SMA (Area),"Probable NASH, NASH, Cirrhosis",0.524193548,0.630546265,0.590322581,0.022024615,0.226018295,0.08222523,0.630546265,0.630546265,0.581687465
SFA (Volume),"Others, NAFL, Probable NASH, NASH",0.61379717,0.630545455,0.596685083,0.147220477,0.215056185,0.074603975,0.630545455,0.630545455,0.613675902
Weight,NASH,0.546052632,0.62995338,0.614386792,0.039503258,0.216243101,0.133804232,0.62995338,0.62995338,0.596797601
SFA (Volume),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.690634921,0.629890454,0.580870279,0.243797694,0.211614058,0.064310879,0.690634921,0.629890454,0.633798551
SMI,"NAFL, Probable NASH, NASH",0.561006289,0.629560915,0.624675325,0.036333984,0.220096868,0.103346487,0.629560915,0.629560915,0.605080843
LSM,"Probable NASH, NASH",0.59223301,0.532978723,0.629419192,0.060685324,0.056768456,0.118061952,0.629419192,0.629419192,0.584876975
Spleen_Vl_Nor_WH,"None, NAFL, Probable NASH, NASH",0.619822164,0.588425236,0.629213483,-0.149924855,-0.146206617,0.100451575,0.629213483,0.629213483,0.612486961
Spleen (Volume),"Others, Probable NASH",0.632850242,0.629120879,,0.222193659,0.202495935,,0.632850242,0.629120879,0.63098556
BMI,"None, NAFL, Probable NASH, NASH",0.65408805,0.628974168,0.584831461,0.192800164,0.21325317,0.065948941,0.65408805,0.628974168,0.622631226
당뇨병/당뇨병 전단계 유무,"Others, NAFL, Probable NASH",0.555147059,0.558252427,0.62890625,0.103607469,0.10799512,-0.072507606,0.62890625,0.62890625,0.580768579
SMA (Area),"NAFL, Probable NASH, NASH",0.623899371,0.628787879,0.612987013,0.0737917,0.21878364,0.093657754,0.628787879,0.628787879,0.621891421
LSM_C,"NAFL, Probable NASH, NASH, Cirrhosis",0.593181818,0.55463615,0.628724395,-0.077566436,0.094343058,0.111606133,0.628724395,0.628724395,0.592180788
BMI,"NAFL, Probable NASH",0.676470588,0.611598441,0.628712871,0.059944243,0.170028555,0.061527989,0.676470588,0.628712871,0.6389273
Weight,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.712719298,0.628676823,0.591626214,0.279597566,0.208923174,0.072400642,0.712719298,0.628676823,0.644340778
SFI,"Others, None, NAFL, Probable NASH, NASH",0.623539982,0.628533659,0.590731707,0.187826545,0.205370865,0.066190075,0.628533659,0.628533659,0.614268449
Waist,"NAFL, Probable NASH, NASH, Cirrhosis",0.502525253,0.627934272,0.599162011,-0.002037984,0.214175651,0.083353888,0.627934272,0.627934272,0.576540512
Liver/Spleen Volume,"NAFL, Probable NASH, NASH",0.577358491,0.627705628,0.548701299,0.04607299,0.216945122,-0.040369721,0.627705628,0.627705628,0.584588472
TG,"Probable NASH, NASH",0.810679612,0.627659574,0.589646465,0.204358543,0.219689541,0.081757423,0.810679612,0.627659574,0.675995217
Liver/Spleen Volume,"Probable NASH, NASH",0.61407767,0.575886525,0.627525253,0.074967851,0.130471313,-0.116194239,0.627525253,0.627525253,0.605829816
FIB-4,"Others, Probable NASH, NASH",0.658941434,0.627477477,0.545634921,-0.232185185,-0.219595211,-0.037456353,0.658941434,0.627477477,0.610684611
SFI,"Others, Probable NASH",0.615136876,0.627289377,,0.192567838,0.199623652,,0.627289377,0.627289377,0.621213127
Waist to Height,Cirrhosis,0.571428571,0.627272727,0.54,-0.102939527,-0.171378614,-0.036313652,0.627272727,0.627272727,0.5795671
SBP,"Others, Probable NASH, NASH, Cirrhosis",0.626089799,0.60625,0.627152318,0.183833648,0.180656911,0.106352108,0.627152318,0.627152318,0.619830706
Liver/Spleen Volume,"Others, None, NAFL, Probable NASH, NASH",0.563005391,0.627008338,0.529756098,0.095791538,0.202933711,-0.021707498,0.627008338,0.627008338,0.573256609
Age,"NAFL, Probable NASH",0.995098039,0.626949318,0.603960396,-0.168240201,-0.193489559,0.049714388,0.995098039,0.626949318,0.742002584
SFI,"Others, Probable NASH, NASH, Cirrhosis",0.64537925,0.626923077,0.609271523,0.211878678,0.215727749,0.09136263,0.64537925,0.626923077,0.627191283
SFI,"None, NAFL, Probable NASH, NASH",0.665148558,0.626800795,0.582022472,0.206638511,0.209658646,0.063764913,0.665148558,0.626800795,0.624657275
ALT,"Others, None, NAFL, Probable NASH",0.575414781,0.517789443,0.626644737,-0.123560932,-0.02343522,-0.04967603,0.626644737,0.626644737,0.573282987
VFA (Area),"Probable NASH, NASH",0.52184466,0.626595745,0.536616162,0.014355546,0.217655414,0.033362702,0.626595745,0.626595745,0.561685522
Liver/Spleen Volume,"Others, NASH",0.53254103,0.504971219,0.6265625,-0.053849982,-0.008555182,-0.126046568,0.6265625,0.6265625,0.554691583
SFA (Area),"Others, None, NAFL, Probable NASH, NASH",0.634209344,0.625991458,0.58195122,0.20404799,0.201309002,0.059784602,0.634209344,0.625991458,0.614050674
SFA (Area),"Probable NASH, NASH",0.611650485,0.625886525,0.590909091,0.07337297,0.216436586,0.08283174,0.625886525,0.625886525,0.609482034
VFA (Attenuation),"Others, NASH",0.649688738,0.62585034,0.6140625,-0.247709918,-0.216581187,-0.113597524,0.649688738,0.62585034,0.629867193
DBP,"Others, NASH",0.72467459,0.621402407,0.62578125,0.372048075,0.209066511,0.12535242,0.72467459,0.62578125,0.657286082
SBP,"Others, NAFL, Probable NASH, NASH",0.629815252,0.593939394,0.625690608,0.168012247,0.154816198,0.097025029,0.629815252,0.625690608,0.616481751
Glucose,"NASH, Cirrhosis",0.560897436,0.512396694,0.625,-0.06696462,0.021476211,-0.137453694,0.625,0.625,0.566098043
Weight,"None, NAFL, Probable NASH, NASH",0.621014964,0.624565325,0.61994382,0.151435098,0.205986594,0.093256215,0.624565325,0.624565325,0.62184137
SMA (Attenuation),"Others, Probable NASH",0.566827697,0.624542125,,0.111770144,0.195315228,,0.624542125,0.624542125,0.595684911
BMI,"Others, NASH, Cirrhosis",0.66978517,0.624519846,0.526190476,0.274763911,0.209655308,0.025565237,0.66978517,0.624519846,0.606831831
PT INR,"Others, Probable NASH, NASH, Cirrhosis",0.58358762,0.624198718,0.50397351,-0.121999325,-0.211403986,-0.003327105,0.624198718,0.624198718,0.570586616
BMI,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.676971326,0.624042501,0.539855072,0.267618186,0.195649329,0.02997221,0.676971326,0.624042501,0.613622966
DBP,"Others, Probable NASH, NASH",0.682273724,0.604054054,0.624007937,0.266421372,0.179347788,0.101841616,0.682273724,0.624007937,0.636778571
AST,"Others, NASH, Cirrhosis",0.558731809,0.552816901,0.623809524,-0.095060324,0.088941855,0.120872208,0.623809524,0.623809524,0.578452745
PT INR,"Probable NASH, NASH, Cirrhosis",0.594354839,0.623634337,0.506048387,-0.086024921,-0.214372754,0.005514418,0.623634337,0.623634337,0.574679187
Sex,"Others, Probable NASH, NASH",0.579705606,0.623198198,0.563492063,0.138450392,0.252349067,0.061966301,0.623198198,0.623198198,0.588798623
이상지질혈증 유무,"NASH, Cirrhosis",0.715384615,0.568181818,0.623076923,-0.293519754,-0.146385011,-0.167725574,0.715384615,0.623076923,0.635547786
SMI,"None, NAFL, Probable NASH, NASH",0.518759488,0.618976652,0.623033708,0.023472398,0.196721825,0.09564737,0.623033708,0.623033708,0.586923283
ALT,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.554077061,0.555967383,0.623007246,-0.081781666,0.088282172,0.092511562,0.623007246,0.623007246,0.577683897
TG,"Probable NASH, NASH, Cirrhosis",0.673387097,0.622853958,0.501612903,0.157958733,0.212856246,-0.001469384,0.673387097,0.622853958,0.599284653
Waist,"Probable NASH, NASH, Cirrhosis",0.508064516,0.622742475,0.57983871,0.007341538,0.21250738,0.07268123,0.622742475,0.622742475,0.570215234
ALT,NAFL,0.946428571,0.534313725,0.622727273,-0.203111351,-0.036493607,-0.078257438,0.946428571,0.622727273,0.701156523
Alb,Cirrhosis,0.900793651,0.622727273,0.54,0.579643478,0.16584114,0.036441802,0.900793651,0.622727273,0.687840308
FIB-4,"Others, NAFL, Probable NASH",0.710784314,0.622437972,0.5703125,-0.300177067,-0.172058741,-0.029978689,0.710784314,0.622437972,0.634511595
SFA (Area),"None, NAFL, Probable NASH, NASH",0.666449794,0.622205663,0.574157303,0.208266748,0.202060921,0.057650495,0.666449794,0.622205663,0.620937587
TG,"Others, Probable NASH, NASH, Cirrhosis",0.590780296,0.621794872,0.50397351,0.132455681,0.207247159,0.00332606,0.621794872,0.621794872,0.572182893
Weight,"Probable NASH, NASH, Cirrhosis",0.578225806,0.621516165,0.545564516,0.071221893,0.210410737,0.041484917,0.621516165,0.621516165,0.581768829
당뇨병/당뇨병 전단계 유무,NASH,0.743421053,0.533799534,0.621462264,-0.250176815,-0.067386958,-0.170233803,0.743421053,0.621462264,0.632894284
AST,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.639766082,0.565104915,0.621156958,-0.183709847,0.105707113,0.09573598,0.639766082,0.621156958,0.608675985
HDL,"Others, Probable NASH",0.67310789,0.620421245,,-0.291791265,-0.190330794,,0.67310789,0.620421245,0.646764568
Waist,"None, NAFL",0.716428571,0.591111111,0.620253165,0.346351692,0.082663978,0.06464929,0.716428571,0.620253165,0.642597616
Age,"None, NAFL",0.548214286,0.514444444,0.620253165,-0.077195919,-0.013111781,0.064681434,0.620253165,0.620253165,0.560970632
HDL,"Others, Cirrhosis",0.608225108,0.546938776,0.620192308,-0.184141235,-0.047486614,-0.07922272,0.620192308,0.620192308,0.591785397
SMI,"NAFL, Probable NASH, NASH, Cirrhosis",0.512626263,0.608568075,0.620111732,-0.010189916,0.181754488,0.10096382,0.620111732,0.620111732,0.580435357
Spleen_Vl_Nor_WH,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.604126984,0.620109546,0.506157635,-0.133165102,-0.195679264,0.004896767,0.620109546,0.620109546,0.576798055
BMI_C,Probable NASH,,0.62,,,0.222429836,,0.62,0.62,0.62
당뇨병/당뇨병 전단계 유무,"None, NAFL, Probable NASH",0.596078431,0.566666667,0.62,0.179290129,0.128012096,-0.070115113,0.62,0.62,0.594248366
TG,"Others, NAFL, Probable NASH, NASH",0.605345912,0.608787879,0.619889503,0.136528584,0.179531157,0.092672909,0.619889503,0.619889503,0.611341098
Age,"Others, None, NAFL, Probable NASH",0.534785068,0.619860017,0.575657895,-0.05700344,-0.157929963,0.029682297,0.619860017,0.619860017,0.57676766
Spleen (Volume),"Others, NAFL",0.705994898,0.61965812,0.542682927,0.336412099,-0.106759668,0.022543338,0.705994898,0.61965812,0.622778648
SFA (Volume),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.640497076,0.619526684,0.578074434,0.184643505,0.194040065,0.061683893,0.640497076,0.619526684,0.612699398
SFI,"Probable NASH, NASH, Cirrhosis",0.755645161,0.619175028,0.593548387,0.232726768,0.206330963,0.085161846,0.755645161,0.619175028,0.656122859
VFI,Probable NASH,,0.619047619,,,0.20546403,,0.619047619,0.619047619,0.619047619
TFI,Probable NASH,,0.619047619,,,0.20546403,,0.619047619,0.619047619,0.619047619
SMA (Attenuation),Probable NASH,,0.619047619,,,0.20546403,,0.619047619,0.619047619,0.619047619
Height,"Others, NAFL, Probable NASH, NASH",0.67855739,0.618848485,0.601933702,0.231103302,0.195873369,0.078688606,0.67855739,0.618848485,0.633113192
SFA (Volume),"NAFL, Probable NASH, NASH",0.608805031,0.618738404,0.580519481,0.064801848,0.201711688,0.066744606,0.618738404,0.618738404,0.602687639
LSM_C,"Probable NASH, NASH",0.583737864,0.530319149,0.618686869,0.056841336,0.053843756,0.111701512,0.618686869,0.618686869,0.577581294
BMI_C,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.657258065,0.61823573,0.508152174,0.254272623,0.199402476,0.006555149,0.657258065,0.61823573,0.594548656
T.bil,"None, NAFL, Probable NASH",0.511372549,0.565,0.618,-0.015720767,-0.092457272,-0.051073762,0.618,0.618,0.56479085
SBP,"None, NAFL, Probable NASH, NASH",0.598351768,0.582898659,0.617977528,0.123114089,0.137128401,0.091756601,0.617977528,0.617977528,0.599742651
SMA (Area),"NAFL, Probable NASH, NASH, Cirrhosis",0.543434343,0.612323944,0.617783985,0.035053312,0.188042211,0.099007157,0.617783985,0.617783985,0.591180757
SFI,"Probable NASH, NASH",0.652912621,0.617730496,0.61489899,0.100488822,0.202413438,0.104689859,0.652912621,0.617730496,0.628514036
SMI,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.504126984,0.600449922,0.617405583,-0.005277885,0.163650329,0.093365032,0.617405583,0.617405583,0.573994163
LSM_C,"Others, NAFL, Probable NASH",0.720938375,0.523552679,0.6171875,-0.326304467,-0.034325239,-0.051817211,0.720938375,0.6171875,0.620559518
BMI,"Others, Probable NASH, NASH, Cirrhosis",0.68777245,0.616666667,0.500331126,0.273664373,0.198295916,-0.000276857,0.68777245,0.616666667,0.601590081
이상지질혈증 유무,"Others, NASH, Cirrhosis",0.568087318,0.551056338,0.616666667,-0.13717646,-0.107021338,-0.14177728,0.616666667,0.616666667,0.578603441
VFA (Area),NASH,0.526315789,0.616550117,0.561320755,0.022568515,0.193898973,0.071714929,0.616550117,0.616550117,0.56806222
T.bil,"NAFL, Probable NASH",0.681372549,0.563840156,0.616336634,0.06184756,-0.097641298,-0.055826848,0.681372549,0.616336634,0.620516446
Weight,"Others, Cirrhosis",0.630591631,0.616326531,0.528846154,0.220661818,-0.116871077,-0.018882079,0.630591631,0.616326531,0.591921438
Waist to Height,"NAFL, Probable NASH, NASH, Cirrhosis",0.567171717,0.616314554,0.561452514,-0.054210355,0.194722916,0.051655908,0.616314554,0.616314554,0.581646262
ALT,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.613157895,0.549870652,0.616302589,-0.148725501,0.080966511,0.091893786,0.616302589,0.616302589,0.593110379
당뇨병/당뇨병 전단계 유무,"Probable NASH, NASH",0.72815534,0.502836879,0.616161616,-0.180081687,-0.005858086,-0.127120485,0.72815534,0.616161616,0.615717945
SBP,"Others, Probable NASH, NASH",0.645944253,0.616103604,0.578869048,0.213290919,0.200088944,0.064762375,0.645944253,0.616103604,0.613638968
BMI_C,"NAFL, Probable NASH",0.534313725,0.615984405,0.507425743,-0.012478278,0.189179892,0.003800163,0.615984405,0.615984405,0.552574625
Waist to Height,"NAFL, Probable NASH",0.509803922,0.615497076,0.52970297,0.003330227,0.175967934,0.014198728,0.615497076,0.615497076,0.551667989
당뇨병/당뇨병 전단계 유무,"Others, None, NAFL, Probable NASH",0.573246606,0.570866142,0.615131579,0.164642375,0.128078103,-0.061956034,0.615131579,0.615131579,0.586414776
